,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Registro,3542602,2020-02-04T00:00:00Z,1,0,,
1,Registro,3542602,2020-02-05T00:00:00Z,1,0,,
2,Registro,3542602,2020-02-06T00:00:00Z,0,0,,
3,Registro,3542602,2020-02-07T00:00:00Z,0,0,,
4,Registro,3542602,2020-02-08T00:00:00Z,0,0,,
5,Registro,3542602,2020-02-09T00:00:00Z,1,0,,
6,Registro,3542602,2020-02-10T00:00:00Z,0,0,0.42857142857142855,0.0
7,Registro,3542602,2020-02-11T00:00:00Z,0,0,0.2857142857142857,0.0
8,Registro,3542602,2020-02-12T00:00:00Z,0,0,0.14285714285714285,0.0
9,Registro,3542602,2020-02-13T00:00:00Z,0,0,0.14285714285714285,0.0
10,Registro,3542602,2020-02-14T00:00:00Z,0,0,0.14285714285714285,0.0
11,Registro,3542602,2020-02-15T00:00:00Z,0,0,0.14285714285714285,0.0
12,Registro,3542602,2020-02-16T00:00:00Z,0,0,0.0,0.0
13,Registro,3542602,2020-02-17T00:00:00Z,0,0,0.0,0.0
14,Registro,3542602,2020-02-18T00:00:00Z,0,0,0.0,0.0
15,Registro,3542602,2020-02-19T00:00:00Z,0,0,0.0,0.0
16,Registro,3542602,2020-02-20T00:00:00Z,0,0,0.0,0.0
17,Registro,3542602,2020-02-21T00:00:00Z,0,0,0.0,0.0
18,Registro,3542602,2020-02-22T00:00:00Z,0,0,0.0,0.0
19,Registro,3542602,2020-02-23T00:00:00Z,0,0,0.0,0.0
20,Registro,3542602,2020-02-24T00:00:00Z,0,0,0.0,0.0
21,Registro,3542602,2020-02-25T00:00:00Z,0,0,0.0,0.0
22,Registro,3542602,2020-02-26T00:00:00Z,0,0,0.0,0.0
23,Registro,3542602,2020-02-27T00:00:00Z,0,0,0.0,0.0
24,Registro,3542602,2020-02-28T00:00:00Z,0,0,0.0,0.0
25,Registro,3542602,2020-02-29T00:00:00Z,0,0,0.0,0.0
26,Registro,3542602,2020-03-01T00:00:00Z,0,0,0.0,0.0
27,Registro,3542602,2020-03-02T00:00:00Z,0,0,0.0,0.0
28,Registro,3542602,2020-03-03T00:00:00Z,0,0,0.0,0.0
