,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Rio Claro,3543907,2020-02-11T00:00:00Z,2,0,,
1,Rio Claro,3543907,2020-02-12T00:00:00Z,0,0,,
2,Rio Claro,3543907,2020-02-13T00:00:00Z,0,0,,
3,Rio Claro,3543907,2020-02-14T00:00:00Z,0,0,,
4,Rio Claro,3543907,2020-02-15T00:00:00Z,1,0,,
5,Rio Claro,3543907,2020-02-16T00:00:00Z,0,0,,
6,Rio Claro,3543907,2020-02-17T00:00:00Z,0,0,0.42857142857142855,0.0
7,Rio Claro,3543907,2020-02-18T00:00:00Z,0,0,0.14285714285714285,0.0
8,Rio Claro,3543907,2020-02-19T00:00:00Z,0,0,0.14285714285714285,0.0
9,Rio Claro,3543907,2020-02-20T00:00:00Z,0,0,0.14285714285714285,0.0
10,Rio Claro,3543907,2020-02-21T00:00:00Z,0,0,0.14285714285714285,0.0
11,Rio Claro,3543907,2020-02-22T00:00:00Z,0,0,0.0,0.0
12,Rio Claro,3543907,2020-02-23T00:00:00Z,0,0,0.0,0.0
13,Rio Claro,3543907,2020-02-24T00:00:00Z,0,0,0.0,0.0
14,Rio Claro,3543907,2020-02-25T00:00:00Z,0,0,0.0,0.0
15,Rio Claro,3543907,2020-02-26T00:00:00Z,0,0,0.0,0.0
16,Rio Claro,3543907,2020-02-27T00:00:00Z,0,0,0.0,0.0
17,Rio Claro,3543907,2020-02-28T00:00:00Z,0,0,0.0,0.0
18,Rio Claro,3543907,2020-02-29T00:00:00Z,0,0,0.0,0.0
19,Rio Claro,3543907,2020-03-01T00:00:00Z,2,0,0.2857142857142857,0.0
20,Rio Claro,3543907,2020-03-02T00:00:00Z,0,0,0.2857142857142857,0.0
21,Rio Claro,3543907,2020-03-03T00:00:00Z,2,0,0.5714285714285714,0.0
22,Rio Claro,3543907,2020-03-04T00:00:00Z,0,0,0.5714285714285714,0.0
23,Rio Claro,3543907,2020-03-05T00:00:00Z,0,0,0.5714285714285714,0.0
24,Rio Claro,3543907,2020-03-06T00:00:00Z,0,0,0.5714285714285714,0.0
25,Rio Claro,3543907,2020-03-07T00:00:00Z,0,0,0.5714285714285714,0.0
26,Rio Claro,3543907,2020-03-08T00:00:00Z,0,0,0.2857142857142857,0.0
27,Rio Claro,3543907,2020-03-09T00:00:00Z,0,0,0.2857142857142857,0.0
28,Rio Claro,3543907,2020-03-10T00:00:00Z,1,0,0.14285714285714285,0.0
29,Rio Claro,3543907,2020-03-11T00:00:00Z,1,0,0.2857142857142857,0.0
30,Rio Claro,3543907,2020-03-12T00:00:00Z,1,0,0.42857142857142855,0.0
