,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Marapoama,3528858,2020-05-24T00:00:00Z,1,0,,
1,Marapoama,3528858,2020-05-25T00:00:00Z,0,0,,
2,Marapoama,3528858,2020-05-26T00:00:00Z,0,0,,
3,Marapoama,3528858,2020-05-27T00:00:00Z,0,0,,
4,Marapoama,3528858,2020-05-28T00:00:00Z,0,0,,
5,Marapoama,3528858,2020-05-29T00:00:00Z,0,0,,
6,Marapoama,3528858,2020-05-30T00:00:00Z,0,0,0.14285714285714285,0.0
7,Marapoama,3528858,2020-05-31T00:00:00Z,0,0,0.0,0.0
8,Marapoama,3528858,2020-06-01T00:00:00Z,0,0,0.0,0.0
9,Marapoama,3528858,2020-06-02T00:00:00Z,0,0,0.0,0.0
10,Marapoama,3528858,2020-06-03T00:00:00Z,0,0,0.0,0.0
11,Marapoama,3528858,2020-06-04T00:00:00Z,0,0,0.0,0.0
12,Marapoama,3528858,2020-06-05T00:00:00Z,0,0,0.0,0.0
13,Marapoama,3528858,2020-06-06T00:00:00Z,0,0,0.0,0.0
14,Marapoama,3528858,2020-06-07T00:00:00Z,0,0,0.0,0.0
15,Marapoama,3528858,2020-06-08T00:00:00Z,0,0,0.0,0.0
16,Marapoama,3528858,2020-06-09T00:00:00Z,0,0,0.0,0.0
17,Marapoama,3528858,2020-06-10T00:00:00Z,0,0,0.0,0.0
18,Marapoama,3528858,2020-06-11T00:00:00Z,0,0,0.0,0.0
19,Marapoama,3528858,2020-06-12T00:00:00Z,0,0,0.0,0.0
20,Marapoama,3528858,2020-06-13T00:00:00Z,0,0,0.0,0.0
21,Marapoama,3528858,2020-06-14T00:00:00Z,0,0,0.0,0.0
22,Marapoama,3528858,2020-06-15T00:00:00Z,1,0,0.14285714285714285,0.0
23,Marapoama,3528858,2020-06-16T00:00:00Z,0,0,0.14285714285714285,0.0
24,Marapoama,3528858,2020-06-17T00:00:00Z,0,0,0.14285714285714285,0.0
25,Marapoama,3528858,2020-06-18T00:00:00Z,0,0,0.14285714285714285,0.0
