,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos
0,Motuca,3532058,2020-05-14T00:00:00Z,1,0,,
1,Motuca,3532058,2020-05-15T00:00:00Z,0,0,,
2,Motuca,3532058,2020-05-16T00:00:00Z,1,0,,
3,Motuca,3532058,2020-05-17T00:00:00Z,0,0,,
4,Motuca,3532058,2020-05-18T00:00:00Z,0,0,,
5,Motuca,3532058,2020-05-19T00:00:00Z,1,0,,
6,Motuca,3532058,2020-05-20T00:00:00Z,0,0,0.42857142857142855,0.0
7,Motuca,3532058,2020-05-21T00:00:00Z,0,0,0.2857142857142857,0.0
8,Motuca,3532058,2020-05-22T00:00:00Z,2,0,0.5714285714285714,0.0
9,Motuca,3532058,2020-05-23T00:00:00Z,0,0,0.42857142857142855,0.0
10,Motuca,3532058,2020-05-24T00:00:00Z,0,0,0.42857142857142855,0.0
11,Motuca,3532058,2020-05-25T00:00:00Z,0,0,0.42857142857142855,0.0
12,Motuca,3532058,2020-05-26T00:00:00Z,0,0,0.2857142857142857,0.0
13,Motuca,3532058,2020-05-27T00:00:00Z,1,0,0.42857142857142855,0.0
14,Motuca,3532058,2020-05-28T00:00:00Z,0,0,0.42857142857142855,0.0
15,Motuca,3532058,2020-05-29T00:00:00Z,1,0,0.2857142857142857,0.0
16,Motuca,3532058,2020-05-30T00:00:00Z,0,0,0.2857142857142857,0.0
17,Motuca,3532058,2020-05-31T00:00:00Z,0,0,0.2857142857142857,0.0
18,Motuca,3532058,2020-06-01T00:00:00Z,0,0,0.2857142857142857,0.0
19,Motuca,3532058,2020-06-02T00:00:00Z,0,0,0.2857142857142857,0.0
20,Motuca,3532058,2020-06-03T00:00:00Z,0,0,0.14285714285714285,0.0
21,Motuca,3532058,2020-06-04T00:00:00Z,0,0,0.14285714285714285,0.0
22,Motuca,3532058,2020-06-05T00:00:00Z,0,0,0.0,0.0
23,Motuca,3532058,2020-06-06T00:00:00Z,1,0,0.14285714285714285,0.0
24,Motuca,3532058,2020-06-07T00:00:00Z,0,0,0.14285714285714285,0.0
25,Motuca,3532058,2020-06-08T00:00:00Z,0,0,0.14285714285714285,0.0
26,Motuca,3532058,2020-06-09T00:00:00Z,0,0,0.14285714285714285,0.0
27,Motuca,3532058,2020-06-10T00:00:00Z,0,0,0.14285714285714285,0.0
28,Motuca,3532058,2020-06-11T00:00:00Z,1,0,0.2857142857142857,0.0
29,Motuca,3532058,2020-06-12T00:00:00Z,1,0,0.42857142857142855,0.0
30,Motuca,3532058,2020-06-13T00:00:00Z,0,0,0.2857142857142857,0.0
31,Motuca,3532058,2020-06-14T00:00:00Z,0,0,0.2857142857142857,0.0
32,Motuca,3532058,2020-06-15T00:00:00Z,0,0,0.2857142857142857,0.0
33,Motuca,3532058,2020-06-16T00:00:00Z,0,0,0.2857142857142857,0.0
34,Motuca,3532058,2020-06-17T00:00:00Z,0,0,0.2857142857142857,0.0
35,Motuca,3532058,2020-06-18T00:00:00Z,4,0,0.7142857142857143,0.0
