,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,5695,2161,0,7856,8945,87.82560089435438,16.21998803793683,6.154766312551621
1,ADOLFO,3500204,3554,571,191,0,762,823,92.58809234507898,16.06640405177265,5.374226223972988
2,AGUAÍ,3500303,36648,3412,1093,0,4505,5018,89.77680350737346,9.310194280724733,2.982427417594412
3,ÁGUAS DA PRATA,3500402,8221,1195,286,0,1481,1984,74.64717741935483,14.535944532295343,3.478895511494952
4,ÁGUAS DE LINDÓIA,3500501,18808,2341,617,0,2958,3619,81.73528599060515,12.446831135686942,3.2805189281156957
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,797,179,0,976,1143,85.38932633420822,13.046325094123423,2.9301031265346213
6,ÁGUAS DE SÃO PEDRO,3500600,3521,849,275,0,1124,1236,90.93851132686083,24.11246804884976,7.810281170122124
7,AGUDOS,3500709,37401,4708,1609,0,6317,8380,75.381861575179,12.587898719285581,4.3020240100532074
8,ALAMBARI,3500758,6129,586,122,0,708,834,84.89208633093526,9.561102953173437,1.9905367922989068
9,ALFREDO MARCONDES,3500808,4184,762,263,0,1025,1226,83.605220228385,18.21223709369025,6.28585086042065
10,ALTAIR,3500907,4186,435,175,0,610,612,99.67320261437908,10.391782130912567,4.1806020066889635
11,ALTINÓPOLIS,3501004,16203,1947,582,0,2529,3438,73.56020942408377,12.016293279022404,3.5919274208479908
12,ALTO ALEGRE,3501103,4088,680,214,0,894,1110,80.54054054054053,16.634050880626223,5.234833659491193
13,ALUMÍNIO,3501152,18767,1331,335,0,1666,2114,78.80794701986756,7.092236372355732,1.7850482229445304
14,ÁLVARES FLORENCE,3501202,3647,674,159,0,833,994,83.80281690140845,18.480943241020018,4.35974773786674
15,ÁLVARES MACHADO,3501301,24998,2864,819,0,3683,4501,81.82626083092646,11.456916553324266,3.2762621009680775
16,ÁLVARO DE CARVALHO,3501400,5274,384,110,0,494,670,73.73134328358208,7.281001137656427,2.085703450891164
17,ALVINLÂNDIA,3501509,3237,387,102,0,489,542,90.22140221402213,11.955514365152919,3.151065801668211
18,AMERICANA,3501608,242018,21813,7578,0,29391,42670,68.87977501757675,9.012965977737194,3.1311720615821965
19,AMÉRICO BRASILIENSE,3501707,41032,3627,1590,0,5217,5865,88.95140664961637,8.839442386430104,3.87502437122246
20,AMÉRICO DE CAMPOS,3501806,5981,821,190,0,1011,1334,75.7871064467766,13.726801538204313,3.1767262999498413
21,AMPARO,3501905,72677,8927,2609,0,11536,14436,79.9113327791632,12.283115703730203,3.5898564882975355
22,ANALÂNDIA,3502002,5056,565,145,0,710,838,84.7255369928401,11.174841772151899,2.867879746835443
23,ANDRADINA,3502101,57202,7411,2410,0,9821,12755,76.99725597804783,12.955840704870457,4.213139400720254
24,ANGATUBA,3502200,25479,2304,635,0,2939,3747,78.43608219909261,9.042741080890144,2.492248518387692
25,ANHEMBI,3502309,6819,591,122,0,713,950,75.05263157894737,8.666959964804223,1.7891186390966418
26,ANHUMAS,3502408,4144,529,173,0,702,756,92.85714285714286,12.765444015444016,4.174710424710424
27,APARECIDA,3502507,36185,3337,1137,0,4474,6048,73.97486772486772,9.222053337018101,3.142185988669338
28,APARECIDA D'OESTE,3502606,4158,745,285,0,1030,1156,89.10034602076125,17.917267917267917,6.854256854256854
29,APIAÍ,3502705,24226,2305,715,0,3020,3664,82.42358078602619,9.514571121935111,2.9513745562618676
30,ARAÇARIGUAMA,3502754,22860,1429,320,0,1749,2074,84.3297974927676,6.2510936132983375,1.399825021872266
31,ARAÇATUBA,3502804,198129,25563,9059,0,34622,43329,79.9049135682799,12.902200081764912,4.572273619712409
32,ARAÇOIABA DA SERRA,3502903,34776,3128,737,0,3865,4955,78.00201816347125,8.994708994708994,2.1192776627559238
33,ARAMINA,3503000,5655,604,156,0,760,966,78.67494824016563,10.680813439434129,2.7586206896551726
