,Unnamed: 0,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,0,CACHOEIRA PAULISTA,3508603.0,33581.0,1289.0,668.0,0.0,1957.0,3.838480092909681,1.9892200946964056,2021-02-21,8.0,0.0,9.857142857142858,0.0,59.18,46.16666666666666,0.0
1,1,CACHOEIRA PAULISTA,3508603.0,33581.0,1293.0,62.0,0.0,1355.0,3.8503915904827135,0.1846282123820017,2021-02-22,12.0,0.0,9.571428571428571,0.0,59.09,40.333333333333336,0.0
2,2,CACHOEIRA PAULISTA,3508603.0,33581.0,1308.0,62.0,0.0,1370.0,3.8950597063815846,0.1846282123820017,2021-02-23,6.0,0.0,9.428571428571429,0.0,59.60,41.583333333333336,0.0
3,3,CACHOEIRA PAULISTA,3508603.0,33581.0,1322.0,193.0,0.0,1515.0,3.9367499478871983,0.5747297578988118,2021-02-24,7.0,1.0,9.714285714285714,0.1428571428571428,58.96,44.083333333333336,0.0
4,4,CACHOEIRA PAULISTA,3508603.0,33581.0,1324.0,193.0,0.0,1517.0,3.9427056966737135,0.5747297578988118,2021-02-25,8.0,0.0,9.428571428571429,0.1428571428571428,58.65,41.5,0.0
5,5,CACHOEIRA PAULISTA,3508603.0,33581.0,1330.0,194.0,0.0,1524.0,3.960572943033263,0.5777076322920699,2021-02-26,14.0,0.0,9.0,0.1428571428571428,57.14,40.91666666666666,0.0
6,6,CACHOEIRA PAULISTA,3508603.0,33581.0,1459.0,194.0,0.0,1653.0,4.3447187397635565,0.5777076322920699,2021-02-27,15.0,0.0,10.0,0.1428571428571428,55.62,43.5,0.0
7,7,CACHOEIRA PAULISTA,3508603.0,33581.0,1459.0,194.0,0.0,1653.0,4.3447187397635565,0.5777076322920699,2021-02-28,6.0,0.0,9.714285714285714,0.1428571428571428,56.71,47.0,0.0
8,8,CACHOEIRA PAULISTA,3508603.0,33581.0,1507.0,194.0,0.0,1701.0,4.487656710639945,0.5777076322920699,2021-03-01,14.0,0.0,10.0,0.1428571428571428,58.10,39.41666666666666,0.0
9,9,CACHOEIRA PAULISTA,3508603.0,33581.0,1522.0,381.0,0.0,1903.0,4.532324826538817,1.1345701438313331,2021-03-02,11.0,0.0,10.714285714285714,0.1428571428571428,59.60,41.91666666666666,0.0
10,10,CACHOEIRA PAULISTA,3508603.0,33581.0,1596.0,455.0,0.0,2051.0,4.752687531639915,1.354932848932432,2021-03-03,3.0,0.0,10.142857142857142,0.0,57.42,41.583333333333336,0.0
11,11,CACHOEIRA PAULISTA,3508603.0,33581.0,1609.0,470.0,0.0,2079.0,4.791399898752271,1.3996009648313037,2021-03-04,17.0,0.0,11.428571428571429,0.0,60.54,40.41666666666666,0.0
12,12,CACHOEIRA PAULISTA,3508603.0,33581.0,1733.0,576.0,0.0,2309.0,5.160656323516274,1.7152556505166612,2021-03-05,16.0,0.0,11.714285714285714,0.0,67.12,40.583333333333336,0.0
13,13,CACHOEIRA PAULISTA,3508603.0,33581.0,1741.0,604.0,0.0,2345.0,5.184479318662339,1.7986361335278878,2021-03-06,10.0,0.0,11.0,0.0,65.49,46.41666666666666,0.0
14,14,CACHOEIRA PAULISTA,3508603.0,33581.0,1741.0,604.0,0.0,2345.0,5.184479318662339,1.7986361335278878,2021-03-07,17.0,0.0,12.571428571428571,0.0,66.92,49.333333333333336,0.0
